#SampleID	ForwardFastqFile	ReverseFastqFile	TreatmentGroup
Sample_1	33749_S1_L001_R1_001.fastq	33749_S1_L001_R2_001.fastq	experimental2
Sample_2	33739_S2_L001_R1_001.fastq	33739_S2_L001_R2_001.fastq	experimental2
Sample_3	33737_S3_L001_R1_001.fastq	33737_S3_L001_R2_001.fastq	experimental2
Sample_4	33773_S4_L001_R1_001.fastq	33773_S4_L001_R2_001.fastq	experimental2
Sample_5	33743_S5_L001_R1_001.fastq	33743_S5_L001_R2_001.fastq	experimental2
Sample_6	33736_S6_L001_R1_001.fastq	33736_S6_L001_R2_001.fastq	experimental2
Sample_7	33731_S7_L001_R1_001.fastq	33731_S7_L001_R2_001.fastq	experimental2
Sample_8	33732_S8_L001_R1_001.fastq	33732_S8_L001_R2_001.fastq	experimental2
Sample_9	33771_S9_L001_R1_001.fastq	33771_S9_L001_R2_001.fastq	experimental2
Sample_10	33770_S10_L001_R1_001.fastq	33770_S10_L001_R2_001.fastq	experimental2
Sample_11	33786_S11_L001_R1_001.fastq	33786_S11_L001_R2_001.fastq	experimental2
Sample_12	33769_S12_L001_R1_001.fastq	33769_S12_L001_R2_001.fastq	experimental2
Sample_13	33741_S13_L001_R1_001.fastq	33741_S13_L001_R2_001.fastq	experimental2
Sample_14	33783_S14_L001_R1_001.fastq	33783_S14_L001_R2_001.fastq	experimental
Sample_15	33777_S15_L001_R1_001.fastq	33777_S15_L001_R2_001.fastq	experimental
Sample_16	33772_S16_L001_R1_001.fastq	33772_S16_L001_R2_001.fastq	experimental
Sample_17	33738_S17_L001_R1_001.fastq	33738_S17_L001_R2_001.fastq	experimental
Sample_18	33774_S18_L001_R1_001.fastq	33774_S18_L001_R2_001.fastq	experimental
Sample_19	33735_S19_L001_R1_001.fastq	33735_S19_L001_R2_001.fastq	experimental
Sample_20	33745_S20_L001_R1_001.fastq	33745_S20_L001_R2_001.fastq	experimental
Sample_21	33729_S21_L001_R1_001.fastq	33729_S21_L001_R2_001.fastq	experimental
Sample_22	33730_S22_L001_R1_001.fastq	33730_S22_L001_R2_001.fastq	experimental
Sample_23	33727_S23_L001_R1_001.fastq	33727_S23_L001_R2_001.fastq	experimental
Sample_24	33740_S24_L001_R1_001.fastq	33740_S24_L001_R2_001.fastq	experimental
Sample_25	33728_S25_L001_R1_001.fastq	33728_S25_L001_R2_001.fastq	experimental
Sample_26	33781_S26_L001_R1_001.fastq	33781_S26_L001_R2_001.fastq	experimental
Sample_27	33774_S27_L001_R1_001.fastq	33774_S27_L001_R2_001.fastq	experimental
Sample_28	33785_S28_L001_R1_001.fastq	33785_S28_L001_R2_001.fastq	experimental
Sample_29	33726_S29_L001_R1_001.fastq	33726_S29_L001_R2_001.fastq	experimental
Sample_30	33784_S30_L001_R1_001.fastq	33784_S30_L001_R2_001.fastq	experimental
Sample_31	33785_S31_L001_R1_001.fastq	33785_S31_L001_R2_001.fastq	experimental
Sample_35	5802_S35_L001_R1_001.fastq	5802_S35_L001_R2_001.fastq	Control
Sample_36	39100_S36_L001_R1_001.fastq	39100_S36_L001_R2_001.fastq	Control
Sample_40	10805_S40_L001_R1_001.fastq	10805_S40_L001_R2_001.fastq	Control
Sample_41	17413_S41_L001_R1_001.fastq	17413_S41_L001_R2_001.fastq	Control
Sample_45	49898_S45_L001_R1_001.fastq	49898_S45_L001_R2_001.fastq	Control
Sample_46	23697_S46_L001_R1_001.fastq	23697_S46_L001_R2_001.fastq	Control
Sample_47	15602_S47_L001_R1_001.fastq	15602_S47_L001_R2_001.fastq	Control
Sample_50	21213_S50_L001_R1_001.fastq	21213_S50_L001_R2_001.fastq	Control
Sample_51	10413_S51_L001_R1_001.fastq	10413_S51_L001_R2_001.fastq	Control
Sample_52	24705_S52_L001_R1_001.fastq	24705_S52_L001_R2_001.fastq	Control
Sample_55	15502_S55_L001_R1_001.fastq	15502_S55_L001_R2_001.fastq	Control
Sample_56	15400_S56_L001_R1_001.fastq	15400_S56_L001_R2_001.fastq	Control
Sample_57	22413_S57_L001_R1_001.fastq	22413_S57_L001_R2_001.fastq	Control
Sample_58	12906_S58_L001_R1_001.fastq	12906_S58_L001_R2_001.fastq	Control
Sample_59	33303_S59_L001_R1_001.fastq	33303_S59_L001_R2_001.fastq	Control
Sample_60	11113_S60_L001_R1_001.fastq	11113_S60_L001_R2_001.fastq	Control
Sample_61	10813_S61_L001_R1_001.fastq	10813_S61_L001_R2_001.fastq	Control
